currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm,term
USD,0,0.396,0.396,westeurope,EU West,2021-07-07T00:00:00Z,2da6c0c4-d0c2-526d-ae6c-3b287d07cf1b,vCore,DZH318Z08M0H,DZH318Z08M0H/007S,SQL Database Single/Elastic Pool General Purpose - Compute DC-Series,1 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,True,,,
USD,0,0.396,0.396,westeurope,EU West,2021-07-07T00:00:00Z,04a291fd-35c5-5fc1-88d8-81f8c76e366c,vCore,DZH318Z08M0H,DZH318Z08M0H/0090,SQL Database Single/Elastic Pool General Purpose - Compute DC-Series,1 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,True,,,
USD,0,169.36,169.36,westeurope,EU West,2015-08-07T00:00:00Z,2cf60c40-2347-4e28-8ac9-a8eba2c6c6f9,P11 Secondary DTU,DZH318Z0BQHC,DZH318Z0BQHC/00VW,SQL Database Single Premium,P11 Secondary,SQL Database,DZH3180HX10K,Databases,1/Day,Consumption,False,,,
USD,0,0.101,0.101,westeurope,EU West,2023-08-01T00:00:00Z,2c7b34e9-663b-57bd-aa46-9aaec054816e,Backup RA-GZRS Data Stored,DZH318Z0BQFJ,DZH318Z0BQFJ/00B2,SQL Database - LTR Backup Storage,Backup RA-GZRS,SQL Database,DZH3180HX10K,Databases,1 GB/Month,Consumption,True,,,
USD,0,0.0298,0.0298,westeurope,EU West,2018-12-01T00:00:00Z,2bd064a8-cee6-499e-9b57-389b90ac3f67,Backup LRS Data Stored,DZH318Z0BQFJ,DZH318Z0BQFJ/001F,SQL Database - LTR Backup Storage,Backup LRS,SQL Database,DZH3180HX10K,Databases,1 GB/Month,Consumption,True,,,
USD,0,0.238,0.238,westeurope,EU West,2018-11-01T00:00:00Z,046622fe-6e88-490e-b885-f3328d56b382,RA-GRS Data Stored,DZH318Z0BXWX,DZH318Z0BXWX/0022,SQL Database Single/Elastic Pool PITR Backup Storage,Backup RA-GRS,SQL Database,DZH3180HX10K,Databases,1 GB/Month,Consumption,True,,,
USD,0,120.0,120.0,westeurope,EU West,2014-11-01T00:00:00Z,2a8f5aeb-d518-4417-a262-f168e3204a84,P6 DTU,DZH318Z0BQHC,DZH318Z0BQHC/00L9,SQL Database Single Premium,P6,SQL Database,DZH3180HX10K,Databases,1/Day,Consumption,False,,,
USD,0,11.25,11.25,westeurope,EU West,2014-11-01T00:00:00Z,29d77a31-e360-483b-a3b3-3b4f3f05bc38,P1 Secondary DTU,DZH318Z0BQHC,DZH318Z0BQHC/00P0,SQL Database Single Premium,P1 Secondary,SQL Database,DZH3180HX10K,Databases,1/Day,Consumption,False,,,
USD,0,1.205556,1.205556,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/01B8,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,6 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_6,,
USD,0,3.616668,3.616668,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/01BD,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,18 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_18,,
USD,0,0.803704,0.803704,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/0032,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,4 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_4,,
USD,0,2.00926,2.00926,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/01B9,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,10 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_10,,
USD,0,2.411112,2.411112,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/01BC,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,12 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_12,,
USD,0,0.200926,0.200926,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/0036,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,1 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,True,SQLDB_HS_Compute_Gen5_1,,
USD,0,3.214816,3.214816,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/0097,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,16 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_16,,
USD,0,2376.0,2376.0,westeurope,EU West,2019-05-14T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/010Q,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Reservation,False,SQLDB_HyperScale_Compute_Gen5,3 Years,
USD,0,9.644448,9.644448,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/0077,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,48 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_48,,
USD,0,6.429632,6.429632,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/0060,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,32 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_32,,
USD,0,8.03704,8.03704,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/01BG,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,40 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_40,,
USD,0,0.401852,0.401852,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/003B,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,2 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_2,,
USD,0,4.822224,4.822224,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/0078,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,24 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_24,,
USD,0,4.01852,4.01852,westeurope,EU West,2019-07-01T00:00:00Z,0443a95d-d288-4277-9edb-97dcae9a9491,vCore,DZH318Z0BXXX,DZH318Z0BXXX/01BB,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,20 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_20,,
